state;action_reward;n_state
898&4|1176&4|304&3|990&4|750&5|1394&5|690&4|894&1|270&1|286&5|539&4|538&3;292&4|328&3|259&2|294&5;898&4|1176&4|304&3|990&4|750&5|1394&5|690&4|894&1|270&1|286&5|539&4|538&3|292&4|328&3|259&2|294&5
515&5|827&3|471&4|69&3|258&5|276&4|1090&2|210&4|27&4|38&3|71&4|64&5;638&3|207&2|58&3|385&3;515&5|827&3|471&4|69&3|258&5|276&4|1090&2|210&4|27&4|38&3|71&4|64&5|638&3|207&2|58&3|385&3
300&4|328&5|149&3|13&2|289&3|682&4|50&5|313&5|678&3|295&4|258&3|286&4;181&4|276&3|222&3|123&2;300&4|328&5|149&3|13&2|289&3|682&4|50&5|313&5|678&3|295&4|258&3|286&4|181&4|276&3|222&3|123&2
242&5|127&4|332&3|306&5|327&4|515&5|285&4|276&4|683&3|286&4|294&1|292&2;322&3|309&1|995&1|690&3;242&5|127&4|332&3|306&5|327&4|515&5|285&4|276&4|683&3|286&4|294&1|292&2|322&3|309&1|995&1|690&3
97&1|114&4|137&4|690&4|274&4|768&4|241&1|286&2|8&5|694&3|88&4|283&4;1129&5|294&4|98&1|304&5;97&1|114&4|137&4|690&4|274&4|768&4|241&1|286&2|8&5|694&3|88&4|283&4|1129&5|294&4|98&1|304&5
22&4|168&4|496&4|288&3|195&4|79&4|174&5|209&3|423&2|1&4|661&3|301&4;152&4|273&3|1050&3|183&5;22&4|168&4|496&4|288&3|195&4|79&4|174&5|209&3|423&2|1&4|661&3|301&4|152&4|273&3|1050&3|183&5
11&4|173&4|343&3|658&3|823&2|7&4|298&1|690&3|210&4|1142&5|871&1|654&5;82&3|462&3|33&3|939&3;11&4|173&4|343&3|658&3|823&2|7&4|298&1|690&3|210&4|1142&5|871&1|654&5|82&3|462&3|33&3|939&3
476&4|137&5|124&5|1036&5|755&3|1153&5|699&4|1134&4|450&3|281&1|1091&3|23&4;736&5|421&4|462&5|1404&2;476&4|137&5|124&5|1036&5|755&3|1153&5|699&4|1134&4|450&3|281&1|1091&3|23&4|736&5|421&4|462&5|1404&2
275&5|181&3|25&5|269&3|255&2|50&3|15&3|1028&4|815&4|124&3|280&2|874&4;476&5|1061&4|1023&2|864&3;275&5|181&3|25&5|269&3|255&2|50&3|15&3|1028&4|815&4|124&3|280&2|874&4|476&5|1061&4|1023&2|864&3
479&3|131&3|523&4|492&4|772&1|193&4|514&3|654&4|172&3|286&4|69&3|285&4;527&5|923&5|474&5|127&5;479&3|131&3|523&4|492&4|772&1|193&4|514&3|654&4|172&3|286&4|69&3|285&4|527&5|923&5|474&5|127&5
294&4|873&2|300&4|332&3|340&4|322&3|748&3|271&2|286&5|328&3|269&4|326&3;302&5|289&4|1038&4|242&4;294&4|873&2|300&4|332&3|340&4|322&3|748&3|271&2|286&5|328&3|269&4|326&3|302&5|289&4|1038&4|242&4
200&1|288&3|164&4|448&5|7&4|218&3|5&2|127&4|183&3|637&4|413&3|185&2;184&3|201&3|567&5|670&5;200&1|288&3|164&4|448&5|7&4|218&3|5&2|127&4|183&3|637&4|413&3|185&2|184&3|201&3|567&5|670&5
313&5|750&5|328&3|272&5|326&2|315&5|258&4|294&4|286&4|690&4|347&2|312&2;323&2|688&2|322&4|748&3;313&5|750&5|328&3|272&5|326&2|315&5|258&4|294&4|286&4|690&4|347&2|312&2|323&2|688&2|322&4|748&3
100&5|596&2|508&3|123&5|148&3|246&4|742&3|121&4|281&3|475&2|244&3|515&4;370&4|930&2|286&3|925&3;100&5|596&2|508&3|123&5|148&3|246&4|742&3|121&4|281&3|475&2|244&3|515&4|370&4|930&2|286&3|925&3
275&4|1009&4|202&4|127&1|168&1|1011&3|735&5|198&4|748&3|151&1|866&3|272&3;537&4|430&2|70&4|385&3;275&4|1009&4|202&4|127&1|168&1|1011&3|735&5|198&4|748&3|151&1|866&3|272&3|537&4|430&2|70&4|385&3
877&2|1&1|147&4|289&2|263&1|476&2|426&1|455&2|245&5|457&1|1197&3|748&4;1163&2|291&3|1152&2|458&1;877&2|1&1|147&4|289&2|263&1|476&2|426&1|455&2|245&5|457&1|1197&3|748&4|1163&2|291&3|1152&2|458&1
311&3|754&3|882&3|340&2|323&3|313&5|289&1|352&3|748&2|347&1|538&3|898&3;690&4|315&4|272&4|873&4;311&3|754&3|882&3|340&2|323&3|313&5|289&1|352&3|748&2|347&1|538&3|898&3|690&4|315&4|272&4|873&4
174&5|331&4|306&4|307&3|292&4|321&4|654&5|1545&4|1063&4|258&5|748&2|319&4;427&5|50&4|191&3|484&3;174&5|331&4|306&4|307&3|292&4|321&4|654&5|1545&4|1063&4|258&5|748&2|319&4|427&5|50&4|191&3|484&3
315&5|312&2|539&3|302&4|358&4|313&4|328&2|751&3|300&2|327&5|748&4|272&4;1296&4|683&3|343&3|689&3;315&5|312&2|539&3|302&4|358&4|313&4|328&2|751&3|300&2|327&5|748&4|272&4|1296&4|683&3|343&3|689&3
121&3|172&5|596&5|69&5|178&5|423&5|845&3|181&5|237&3|479&5|15&4|123&4;126&5|283&2|471&4|111&4;121&3|172&5|596&5|69&5|178&5|423&5|845&3|181&5|237&3|479&5|15&4|123&4|126&5|283&2|471&4|111&4
742&4|15&4|292&5|275&4|181&4|289&4|1047&3|304&3|50&4|597&4|457&2|118&3;237&4|864&4|127&4|257&4;742&4|15&4|292&5|275&4|181&4|289&4|1047&3|304&3|50&4|597&4|457&2|118&3|237&4|864&4|127&4|257&4
108&3|423&4|228&5|258&4|222&4|227&4|40&4|313&5|50&4|541&3|109&4|114&4;450&2|25&3|165&1|82&3;108&3|423&4|228&5|258&4|222&4|227&4|40&4|313&5|50&4|541&3|109&4|114&4|450&2|25&3|165&1|82&3
182&5|175&2|709&4|915&4|213&3|269&3|176&5|238&5|117&5|653&3|156&5|208&2;672&3|218&4|423&2|7&3;182&5|175&2|709&4|915&4|213&3|269&3|176&5|238&5|117&5|653&3|156&5|208&2|672&3|218&4|423&2|7&3
334&4|289&4|538&4|313&5|690&5|751&5|988&1|288&4|301&4|896&4|315&5|338&4;875&4|326&3|1313&4|303&3;334&4|289&4|538&4|313&5|690&5|751&5|988&1|288&4|301&4|896&4|315&5|338&4|875&4|326&3|1313&4|303&3
815&3|284&3|234&4|27&4|258&4|109&4|68&3|343&2|984&3|1675&3|363&4|157&4;682&1|349&3|272&5|303&4;815&3|284&3|234&4|27&4|258&4|109&4|68&3|343&2|984&3|1675&3|363&4|157&4|682&1|349&3|272&5|303&4
1615&4|433&4|199&5|981&3|429&4|184&5|156&4|636&3|566&4|2&4|176&4|105&3;702&2|403&3|141&3|972&3;1615&4|433&4|199&5|981&3|429&4|184&5|156&4|636&3|566&4|2&4|176&4|105&3|702&2|403&3|141&3|972&3
609&3|1204&4|491&4|191&4|481&5|601&3|432&3|50&4|489&5|480&5|1064&4|524&4;134&4|490&4|835&3|185&5;609&3|1204&4|491&4|191&4|481&5|601&3|432&3|50&4|489&5|480&5|1064&4|524&4|134&4|490&4|835&3|185&5
603&4|588&3|427&5|80&2|174&5|724&4|283&3|679&4|405&2|483&4|214&2|121&4;419&3|139&4|386&4|449&4;603&4|588&3|427&5|80&2|174&5|724&4|283&3|679&4|405&2|483&4|214&2|121&4|419&3|139&4|386&4|449&4
56&5|184&5|246&4|441&3|413&4|185&5|324&5|302&5|672&4|565&2|334&4|436&4;53&4|567&4|564&2|234&4;56&5|184&5|246&4|441&3|413&4|185&5|324&5|302&5|672&4|565&2|334&4|436&4|53&4|567&4|564&2|234&4
504&4|663&5|132&5|479&5|511&5|175&5|186&1|185&4|430&3|234&3|56&4|317&5;1245&5|428&5|427&5|205&3;504&4|663&5|132&5|479&5|511&5|175&5|186&1|185&4|430&3|234&3|56&4|317&5|1245&5|428&5|427&5|205&3
493&4|434&5|496&5|219&3|294&2|663&5|8&5|664&2|229&3|134&5|675&3|662&3;451&2|679&3|378&4|230&3;493&4|434&5|496&5|219&3|294&2|663&5|8&5|664&2|229&3|134&5|675&3|662&3|451&2|679&3|378&4|230&3
231&2|194&5|144&4|97&2|153&4|318&5|118&3|157&4|591&4|480&4|755&3|405&3;88&2|216&1|230&2|222&4;231&2|194&5|144&4|97&2|153&4|318&5|118&3|157&4|591&4|480&4|755&3|405&3|88&2|216&1|230&2|222&4
164&2|823&2|210&3|50&5|120&2|257&4|201&3|218&2|227&4|436&3|738&2|39&3;159&2|768&3|574&2|333&4;164&2|823&2|210&3|50&5|120&2|257&4|201&3|218&2|227&4|436&3|738&2|39&3|159&2|768&3|574&2|333&4
276&5|933&3|275&3|287&3|979&3|460&3|405&4|763&3|235&3|408&3|106&3|1008&2;547&4|50&4|258&4|13&4;276&5|933&3|275&3|287&3|979&3|460&3|405&4|763&3|235&3|408&3|106&3|1008&2|547&4|50&4|258&4|13&4
942&4|469&5|92&4|205&5|7&4|238&5|127&5|217&3|521&4|660&4|200&5|433&4;121&3|449&3|1030&1|546&4;942&4|469&5|92&4|205&5|7&4|238&5|127&5|217&3|521&4|660&4|200&5|433&4|121&3|449&3|1030&1|546&4
455&4|79&5|186&4|89&4|550&4|233&4|127&2|597&4|183&4|117&4|231&2|229&2;157&4|204&5|196&4|168&3;455&4|79&5|186&4|89&4|550&4|233&4|127&2|597&4|183&4|117&4|231&2|229&2|157&4|204&5|196&4|168&3
13&3|125&3|1163&2|298&3|315&3|181&3|237&4|1134&1|288&3|696&2|126&2|1382&3;269&4|151&5|127&5|412&5;13&3|125&3|1163&2|298&3|315&3|181&3|237&4|1134&1|288&3|696&2|126&2|1382&3|269&4|151&5|127&5|412&5
25&4|310&4|1059&5|274&4|898&2|1014&1|249&1|294&5|763&2|355&3|257&3|1028&2;833&5|1&4|409&3|117&1;25&4|310&4|1059&5|274&4|898&2|1014&1|249&1|294&5|763&2|355&3|257&3|1028&2|833&5|1&4|409&3|117&1
919&5|89&5|965&5|724&4|87&4|792&4|10&5|15&4|707&4|408&5|632&4|121&5;805&4|1203&5|1041&3|1047&2;919&5|89&5|965&5|724&4|87&4|792&4|10&5|15&4|707&4|408&5|632&4|121&5|805&4|1203&5|1041&3|1047&2
806&3|178&5|205&3|83&3|197&5|317&4|86&4|187&5|276&3|124&3|192&4|100&4;318&4|661&4|646&4|22&3;806&3|178&5|205&3|83&3|197&5|317&4|86&4|187&5|276&3|124&3|192&4|100&4|318&4|661&4|646&4|22&3
323&3|257&3|304&3|237&3|744&2|283&5|150&5|181&5|248&5|619&3|471&4|288&5;742&3|117&4|815&4|282&1;323&3|257&3|304&3|237&3|744&2|283&5|150&5|181&5|248&5|619&3|471&4|288&5|742&3|117&4|815&4|282&1
300&3|1234&1|327&4|308&1|349&2|1591&1|873&3|344&1|326&4|322&1|333&4|301&4;299&1|361&1|882&1|1062&1;300&3|1234&1|327&4|308&1|349&2|1591&1|873&3|344&1|326&4|322&1|333&4|301&4|299&1|361&1|882&1|1062&1
1190&3|538&4|286&5|546&3|118&3|151&2|121&4|237&3|125&3|257&4|298&5|405&4;111&4|252&3|1258&1|458&4;1190&3|538&4|286&5|546&3|118&3|151&2|121&4|237&3|125&3|257&4|298&5|405&4|111&4|252&3|1258&1|458&4
313&5|12&5|284&4|8&4|135&4|558&5|433&5|156&5|1019&4|483&5|490&4|181&3;311&4|240&4|512&3|1089&1;313&5|12&5|284&4|8&4|135&4|558&5|433&5|156&5|1019&4|483&5|490&4|181&3|311&4|240&4|512&3|1089&1
258&5|174&4|191&4|1063&3|743&1|934&1|98&3|260&4|476&1|12&3|584&4|436&4;1135&2|431&4|418&2|842&1;258&5|174&4|191&4|1063&3|743&1|934&1|98&3|260&4|476&1|12&3|584&4|436&4|1135&2|431&4|418&2|842&1
40&4|733&5|202&3|173&5|658&5|729&5|222&5|153&1|69&4|716&1|156&5|213&5;431&4|53&5|1046&2|356&3;40&4|733&5|202&3|173&5|658&5|729&5|222&5|153&1|69&4|716&1|156&5|213&5|431&4|53&5|1046&2|356&3
237&5|121&1|756&4|287&4|328&2|473&3|285&4|289&4|696&5|471&4|278&3|879&2;276&5|628&5|535&4|9&5;237&5|121&1|756&4|287&4|328&2|473&3|285&4|289&4|696&5|471&4|278&3|879&2|276&5|628&5|535&4|9&5
301&4|288&5|874&5|302&5|305&5|300&5|330&5|333&5|690&5|1025&5|938&5|340&5;258&5|173&3|845&5|294&4;301&4|288&5|874&5|302&5|305&5|300&5|330&5|333&5|690&5|1025&5|938&5|340&5|258&5|173&3|845&5|294&4
990&5|312&4|294&1|329&5|898&5|991&4|690&4|1024&5|242&5|310&4|286&5|288&2;245&4|899&5|289&1|299&5;990&5|312&4|294&1|329&5|898&5|991&4|690&4|1024&5|242&5|310&4|286&5|288&2|245&4|899&5|289&1|299&5
101&4|68&2|445&2|797&2|840&2|194&3|629&3|102&3|588&4|183&4|144&3|219&2;211&3|393&3|66&3|239&3;101&4|68&2|445&2|797&2|840&2|194&3|629&3|102&3|588&4|183&4|144&3|219&2|211&3|393&3|66&3|239&3
126&4|117&3|276&4|294&4|546&1|287&3|100&5|458&4|25&1|476&3|1009&3|237&2;756&4|841&2|411&3|122&3;126&4|117&3|276&4|294&4|546&1|287&3|100&5|458&4|25&1|476&3|1009&3|237&2|756&4|841&2|411&3|122&3
15&4|744&4|1&4|25&5|286&5|50&4|237&3|9&4|742&4|258&5|245&3|125&4;508&2|118&2|827&2|257&2;15&4|744&4|1&4|25&5|286&5|50&4|237&3|9&4|742&4|258&5|245&3|125&4|508&2|118&2|827&2|257&2
249&5|845&4|295&3|248&4|123&3|151&4|246&4|237&5|742&4|100&3|411&3|7&2;864&2|284&4|15&4|546&3;249&5|845&4|295&3|248&4|123&3|151&4|246&4|237&5|742&4|100&3|411&3|7&2|864&2|284&4|15&4|546&3
334&5|350&4|881&4|288&3|990&5|891&5|333&4|319&2|307&3|326&5|300&3|313&5;322&4|1025&5|362&5|1105&5;334&5|350&4|881&4|288&3|990&5|891&5|333&4|319&2|307&3|326&5|300&3|313&5|322&4|1025&5|362&5|1105&5
127&4|121&5|841&4|257&4|685&4|472&4|117&5|222&5|323&5|763&3|546&4|405&3;265&5|210&5|739&5|252&5;127&4|121&5|841&4|257&4|685&4|472&4|117&5|222&5|323&5|763&3|546&4|405&3|265&5|210&5|739&5|252&5
507&4|1451&5|69&4|121&2|89&5|285&4|196&4|655&5|609&4|506&5|137&5|526&4;949&4|82&3|432&5|212&4;507&4|1451&5|69&4|121&2|89&5|285&4|196&4|655&5|609&4|506&5|137&5|526&4|949&4|82&3|432&5|212&4
169&3|183&3|515&3|62&3|1219&2|22&3|520&4|89&3|28&4|930&3|69&3|472&3;142&2|679&3|423&4|630&3;169&3|183&3|515&3|62&3|1219&2|22&3|520&4|89&3|28&4|930&3|69&3|472&3|142&2|679&3|423&4|630&3
501&3|92&3|226&3|591&4|860&1|147&4|419&3|50&4|1&4|930&3|3&1|642&2;323&3|178&5|143&5|141&3;501&3|92&3|226&3|591&4|860&1|147&4|419&3|50&4|1&4|930&3|3&1|642&2|323&3|178&5|143&5|141&3
332&5|258&4|328&4|682&5|319&3|292&2|1296&5|989&5|1265&5|990&5|303&5|359&5;289&5|937&5|245&5|874&5;332&5|258&4|328&4|682&5|319&3|292&2|1296&5|989&5|1265&5|990&5|303&5|359&5|289&5|937&5|245&5|874&5
38&1|664&5|114&5|82&1|269&5|132&5|616&5|935&3|4&4|258&5|631&5|882&3;855&5|223&5|906&4|879&4;38&1|664&5|114&5|82&1|269&5|132&5|616&5|935&3|4&4|258&5|631&5|882&3|855&5|223&5|906&4|879&4
248&4|245&3|1028&4|281&4|742&4|280&3|121&4|827&3|264&3|325&4|546&4|685&4;460&4|125&4|928&4|829&4;248&4|245&3|1028&4|281&4|742&4|280&3|121&4|827&3|264&3|325&4|546&4|685&4|460&4|125&4|928&4|829&4
258&4|39&4|182&2|143&3|286&1|557&3|238&4|125&3|88&4|210&3|559&4|216&4;554&3|316&3|553&2|122&3;258&4|39&4|182&2|143&3|286&1|557&3|238&4|125&3|88&4|210&3|559&4|216&4|554&3|316&3|553&2|122&3
132&4|173&5|182&3|134&2|184&3|705&1|655&3|203&4|181&5|210&4|148&3|485&1;172&5|679&3|144&5|83&5;132&4|173&5|182&3|134&2|184&3|705&1|655&3|203&4|181&5|210&4|148&3|485&1|172&5|679&3|144&5|83&5
182&3|222&4|202&4|99&4|233&4|743&3|17&3|551&4|73&4|55&3|117&4|211&3;139&3|474&3|31&4|386&2;182&3|222&4|202&4|99&4|233&4|743&3|17&3|551&4|73&4|55&3|117&4|211&3|139&3|474&3|31&4|386&2
322&2|350&4|243&1|288&3|358&2|333&5|91&5|346&5|315&3|268&5|124&4|514&5;7&4|55&2|89&3|425&4;322&2|350&4|243&1|288&3|358&2|333&5|91&5|346&5|315&3|268&5|124&4|514&5|7&4|55&2|89&3|425&4
98&4|493&5|322&3|64&4|222&3|14&3|435&3|659&4|136&4|427&5|210&3|661&5;42&3|631&4|107&4|12&4;98&4|493&5|322&3|64&4|222&3|14&3|435&3|659&4|136&4|427&5|210&3|661&5|42&3|631&4|107&4|12&4
58&3|493&4|305&2|86&3|530&4|319&3|484&5|100&4|114&5|210&2|525&5|193&4;82&3|107&2|542&2|1018&3;58&3|493&4|305&2|86&3|530&4|319&3|484&5|100&4|114&5|210&2|525&5|193&4|82&3|107&2|542&2|1018&3
259&2|286&3|275&4|300&4|245&4|984&2|333&4|288&2|538&4|323&3|282&4|328&4;125&2|699&5|257&2|96&4;259&2|286&3|275&4|300&4|245&4|984&2|333&4|288&2|538&4|323&3|282&4|328&4|125&2|699&5|257&2|96&4
9&3|1009&5|472&3|19&4|125&5|220&4|276&1|286&4|476&3|596&3|151&5|284&1;1049&1|762&2|926&1|225&3;9&3|1009&5|472&3|19&4|125&5|220&4|276&1|286&4|476&3|596&3|151&5|284&1|1049&1|762&2|926&1|225&3
196&2|69&1|50&5|89&5|194&4|172&4|678&3|11&5|96&4|589&4|114&5|100&4;257&3|405&4|475&5|117&5;196&2|69&1|50&5|89&5|194&4|172&4|678&3|11&5|96&4|589&4|114&5|100&4|257&3|405&4|475&5|117&5
323&5|294&5|261&3|683&3|275&5|969&1|690&3|172&3|989&2|1346&4|538&5|289&5;1084&5|9&5|151&2|740&5;323&5|294&5|261&3|683&3|275&5|969&1|690&3|172&3|989&2|1346&4|538&5|289&5|1084&5|9&5|151&2|740&5
225&4|380&3|79&4|1337&3|1032&3|155&3|259&5|399&5|87&3|393&3|72&3|588&4;662&3|1539&2|821&5|768&4;225&4|380&3|79&4|1337&3|1032&3|155&3|259&5|399&5|87&3|393&3|72&3|588&4|662&3|1539&2|821&5|768&4
288&4|9&4|15&2|508&5|268&4|246&3|319&5|124&1|547&4|276&2|475&5|100&2;544&4|253&5|823&3|1008&5;288&4|9&4|15&2|508&5|268&4|246&3|319&5|124&1|547&4|276&2|475&5|100&2|544&4|253&5|823&3|1008&5
543&4|653&4|615&4|197&4|1333&3|213&4|211&4|192&4|528&3|631&4|279&4|709&5;655&3|134&5|12&4|56&4;543&4|653&4|615&4|197&4|1333&3|213&4|211&4|192&4|528&3|631&4|279&4|709&5|655&3|134&5|12&4|56&4
156&5|150&3|515&4|265&2|204&2|258&2|1103&4|190&4|7&3|9&2|64&4|175&5;229&2|77&2|754&2|121&2;156&5|150&3|515&4|265&2|204&2|258&2|1103&4|190&4|7&3|9&2|64&4|175&5|229&2|77&2|754&2|121&2
895&5|326&1|328&5|259&5|288&5|268&1|877&4|304&5|751&4|307&1|313&5|334&1;678&4|892&4|289&3|688&4;895&5|326&1|328&5|259&5|288&5|268&1|877&4|304&5|751&4|307&1|313&5|334&1|678&4|892&4|289&3|688&4
121&4|926&3|181&5|471&4|7&4|678&3|50&5|820&3|125&3|151&3|866&3|1093&3;173&5|100&5|744&5|419&3;121&4|926&3|181&5|471&4|7&4|678&3|50&5|820&3|125&3|151&3|866&3|1093&3|173&5|100&5|744&5|419&3
228&4|203&3|381&4|174&5|161&5|170&4|328&4|168&4|202&4|96&4|132&5|708&3;97&5|238&5|735&5|318&5;228&4|203&3|381&4|174&5|161&5|170&4|328&4|168&4|202&4|96&4|132&5|708&3|97&5|238&5|735&5|318&5
1&5|349&2|127&5|301&3|898&3|1137&4|276&2|1086&4|285&5|766&4|321&4|16&4;269&2|258&2|1105&2|271&2;1&5|349&2|127&5|301&3|898&3|1137&4|276&2|1086&4|285&5|766&4|321&4|16&4|269&2|258&2|1105&2|271&2
282&4|134&5|485&3|993&4|99&3|208&5|257&4|483&5|203&3|596&3|153&3|504&3;252&4|625&4|546&3|274&3;282&4|134&5|485&3|993&4|99&3|208&5|257&4|483&5|203&3|596&3|153&3|504&3|252&4|625&4|546&3|274&3
1&4|505&4|1558&3|477&2|331&3|56&3|216&4|318&5|750&4|317&3|185&5|210&3;117&4|755&5|183&4|582&4;1&4|505&4|1558&3|477&2|331&3|56&3|216&4|318&5|750&4|317&3|185&5|210&3|117&4|755&5|183&4|582&4
301&4|117&3|748&3|13&5|284&3|50&5|283&4|275&5|100&4|988&3|294&4|222&3;151&5|1014&3|742&4|597&2;301&4|117&3|748&3|13&5|284&3|50&5|283&4|275&5|100&4|988&3|294&4|222&3|151&5|1014&3|742&4|597&2
269&4|324&3|307&4|289&4|262&5|683&3|305&5|306&4|302&5|258&4|322&2|286&3;995&3|301&4|327&4|323&2;269&4|324&3|307&4|289&4|262&5|683&3|305&5|306&4|302&5|258&4|322&2|286&3|995&3|301&4|327&4|323&2
1062&3|1430&1|315&5|336&1|362&1|326&1|882&1|308&2|990&1|343&1|288&5|323&1;360&1|361&1|1432&1|242&3;1062&3|1430&1|315&5|336&1|362&1|326&1|882&1|308&2|990&1|343&1|288&5|323&1|360&1|361&1|1432&1|242&3
213&4|96&2|82&2|475&4|357&5|28&3|188&5|480&4|894&1|173&5|197&5|156&4;269&4|285&4|748&2|202&2;213&4|96&2|82&2|475&4|357&5|28&3|188&5|480&4|894&1|173&5|197&5|156&4|269&4|285&4|748&2|202&2
529&4|174&4|357&4|582&1|161&4|510&4|467&5|218&4|199&4|570&3|196&3|1&4;449&1|165&4|1058&2|736&2;529&4|174&4|357&4|582&1|161&4|510&4|467&5|218&4|199&4|570&3|196&3|1&4|449&1|165&4|1058&2|736&2
294&3|748&1|321&2|243&1|289&2|322&4|292&3|323&2|268&4|304&3|259&4|687&2;678&3|991&3|989&2|245&2;294&3|748&1|321&2|243&1|289&2|322&4|292&3|323&2|268&4|304&3|259&4|687&2|678&3|991&3|989&2|245&2
332&4|748&4|262&5|751&3|270&4|294&5|327&5|875&4|750&5|271&3|245&4|340&5;313&5|872&5|264&5|302&5;332&4|748&4|262&5|751&3|270&4|294&5|327&5|875&4|750&5|271&3|245&4|340&5|313&5|872&5|264&5|302&5
684&4|770&3|302&5|5&4|218&3|939&3|566&4|233&4|573&4|443&4|300&4|185&5;1217&4|761&3|583&2|1046&2;684&4|770&3|302&5|5&4|218&3|939&3|566&4|233&4|573&4|443&4|300&4|185&5|1217&4|761&3|583&2|1046&2
152&5|98&5|832&3|864&3|300&4|205&4|4&4|204&5|568&4|708&5|187&5|186&4;73&5|755&3|167&4|393&3;152&5|98&5|832&3|864&3|300&4|205&4|4&4|204&5|568&4|708&5|187&5|186&4|73&5|755&3|167&4|393&3
655&5|226&4|238&4|1039&4|95&4|1050&5|739&4|642&4|232&3|155&4|142&4|559&4;218&5|53&1|1170&5|497&5;655&5|226&4|238&4|1039&4|95&4|1050&5|739&4|642&4|232&3|155&4|142&4|559&4|218&5|53&1|1170&5|497&5
286&4|14&4|319&4|476&4|300&4|222&2|289&3|9&5|124&5|1010&2|301&4|1137&3;13&4|924&1|277&1|284&3;286&4|14&4|319&4|476&4|300&4|222&2|289&3|9&5|124&5|1010&2|301&4|1137&3|13&4|924&1|277&1|284&3
323&5|286&1|322&5|258&4|313&5|751&4|346&1|300&5|984&5|328&5|347&5|288&3;243&3|688&3|894&4|343&4;323&5|286&1|322&5|258&4|313&5|751&4|346&1|300&5|984&5|328&5|347&5|288&3|243&3|688&3|894&4|343&4
978&3|566&3|12&5|79&5|199&5|633&5|474&5|969&5|979&5|45&4|151&5|205&4;640&3|479&4|188&5|59&5;978&3|566&3|12&5|79&5|199&5|633&5|474&5|969&5|979&5|45&4|151&5|205&4|640&3|479&4|188&5|59&5
866&3|697&5|831&2|1052&4|405&4|282&5|172&4|82&2|813&4|449&5|475&4|392&4;338&1|226&3|526&2|349&3;866&3|697&5|831&2|1052&4|405&4|282&5|172&4|82&2|813&4|449&5|475&4|392&4|338&1|226&3|526&2|349&3
246&4|111&4|477&4|151&3|26&3|127&4|1&4|737&3|215&3|237&2|14&3|631&4;194&4|514&4|285&5|173&3;246&4|111&4|477&4|151&3|26&3|127&4|1&4|737&3|215&3|237&2|14&3|631&4|194&4|514&4|285&5|173&3
334&3|879&4|301&1|270&4|880&5|323&3|1280&4|302&4|340&1|333&4|748&2|873&3;688&3|887&2|1025&4|261&3;334&3|879&4|301&1|270&4|880&5|323&3|1280&4|302&4|340&1|333&4|748&2|873&3|688&3|887&2|1025&4|261&3
880&3|270&3|258&4|199&4|324&2|479&4|302&3|1216&3|340&3|604&3|1214&3|539&2;303&3|914&2|484&4|11&5;880&3|270&3|258&4|199&4|324&2|479&4|302&3|1216&3|340&3|604&3|1214&3|539&2|303&3|914&2|484&4|11&5
10&3|301&4|289&5|213&5|462&4|83&5|170&5|305&4|382&5|509&5|475&3|582&2;1227&4|737&3|20&4|949&4;10&3|301&4|289&5|213&5|462&4|83&5|170&5|305&4|382&5|509&5|475&3|582&2|1227&4|737&3|20&4|949&4
25&3|323&1|1160&5|294&3|880&5|476&3|289&4|813&2|255&4|301&5|257&4|298&3;237&5|871&3|411&4|1047&1;25&3|323&1|1160&5|294&3|880&5|476&3|289&4|813&2|255&4|301&5|257&4|298&3|237&5|871&3|411&4|1047&1
305&4|289&4|285&4|306&4|340&3|302&5|748&3|20&3|125&3|275&4|286&4|116&4;654&5|182&4|357&5|197&4;305&4|289&4|285&4|306&4|340&3|302&5|748&3|20&3|125&3|275&4|286&4|116&4|654&5|182&4|357&5|197&4
753&3|1052&1|198&3|779&2|132&5|242&4|99&3|431&3|366&3|373&3|1014&4|60&3;841&2|154&3|740&3|14&4;753&3|1052&1|198&3|779&2|132&5|242&4|99&3|431&3|366&3|373&3|1014&4|60&3|841&2|154&3|740&3|14&4
615&4|792&4|732&3|662&3|26&3|216&4|487&4|787&3|64&5|956&4|86&5|172&3;866&3|517&4|72&3|381&4;615&4|792&4|732&3|662&3|26&3|216&4|487&4|787&3|64&5|956&4|86&5|172&3|866&3|517&4|72&3|381&4
271&4|678&2|245&3|307&3|333&5|258&5|269&3|323&2|294&5|260&1|309&5|948&1;12&5|748&4|175&2|39&1;271&4|678&2|245&3|307&3|333&5|258&5|269&3|323&2|294&5|260&1|309&5|948&1|12&5|748&4|175&2|39&1
148&5|1013&3|22&5|41&5|815&4|226&5|934&2|294&5|257&4|327&5|332&4|173&5;342&4|682&4|229&5|5&5;148&5|1013&3|22&5|41&5|815&4|226&5|934&2|294&5|257&4|327&5|332&4|173&5|342&4|682&4|229&5|5&5
826&3|54&3|739&4|233&2|173&5|228&3|363&2|184&3|187&5|381&3|176&4|164&4;416&2|944&3|72&3|73&3;826&3|54&3|739&4|233&2|173&5|228&3|363&2|184&3|187&5|381&3|176&4|164&4|416&2|944&3|72&3|73&3
294&4|260&3|243&2|326&4|313&5|678&2|245&3|288&3|264&3|876&3|307&4|258&3;322&3|181&3|50&3|471&4;294&4|260&3|243&2|326&4|313&5|678&2|245&3|288&3|264&3|876&3|307&4|258&3|322&3|181&3|50&3|471&4
