item_id;vectors
519;-0.22587132|0.06394074|-0.15248804|-0.14260773|0.0108346455|0.2276997|-0.21941526|0.04330443|-0.15159121|0.037498374|0.13092867|-0.12970215|-0.13886657|0.0687332|-0.08436136|-0.22981063|0.07679883|-0.12354035|0.15591979|-0.114548415|-0.031479556|0.16559388|0.213987|0.18533331|-0.037371434|0.17059886|0.0063207857|0.13707733|-0.19830231|-0.024794042|-0.18103883|-0.108429|0.19177695|-0.13242638|-0.16708878|0.0578904|0.06821807|-0.17848304|-0.15409441|0.056701872|-0.014509477|0.14336386|-0.18863183|0.085742876|0.13711777|0.22273983|0.24357487|-0.12881082|-0.1815646|0.20508343|0.11741873|-0.1142918|-0.03618181|-0.17642051|-0.17027043|-0.063380644|0.07260926|0.04756341|-0.19205001|-0.16358477|-0.19123542|0.13578288|-0.23256972|-0.10276164|0.11851657|-0.17968944|-0.12979372|-0.13522269|-0.22161315|0.12678307|-0.12657672|0.11713614|-0.061297134|-0.09828199|-0.13260578|-0.14384016|-0.19438002|0.07486982|-0.15693659|0.14893034|-0.22222766|-0.19191949|-0.06741519|0.1468012|0.06506789|0.12062197|-0.20933469|-0.17761461|0.22380379|0.17907196|0.17438126|-0.13815127|0.14576785|0.26998988|-0.17791927|-0.0029347911|0.1686001|0.20609455|-0.06916995|0.15920395
520;-0.21342938|0.10862754|-0.12885746|-0.22477746|-0.032368816|0.2859064|-0.1210623|-0.020646963|-0.1364811|0.0909176|0.057573214|-0.20986536|-0.16928937|0.12056123|-0.12321548|-0.21545929|0.09084679|-0.15374091|0.19707912|-0.10333835|0.06542389|0.1915376|0.12923034|0.10451327|-0.14454779|0.100950934|-0.033802312|0.17235535|-0.10130196|-0.048685648|-0.12843895|-0.020153664|0.18672846|-0.22056611|-0.21093974|-0.12062153|0.16316941|-0.13092193|-0.17641976|0.08915687|-0.028363893|0.028368354|-0.20970316|0.07953337|0.10037573|0.17158951|0.22312507|-0.0711153|-0.114365906|0.08830625|0.0560701|-0.22140996|-0.047259104|-0.14850701|-0.18401866|-0.074333794|0.178211|-0.019316234|-0.17369959|-0.20218734|-0.18027087|0.13962515|-0.17720266|-0.08883514|0.09399745|-0.22862947|-0.18807775|-0.17187949|-0.14702304|0.16539147|-0.19687685|0.13811006|-0.07966061|-0.12511158|-0.14988248|-0.15055478|-0.0811416|0.14150594|-0.21451579|0.21347943|-0.17894652|-0.13767259|-0.14960174|0.14428978|0.13074571|0.21546462|-0.19223565|-0.15373786|0.22728363|0.21695708|0.1383292|-0.23312485|0.13401526|0.18410346|-0.23554686|-0.06156855|0.23876077|0.1692174|-0.107721046|0.14639154
521;-0.1340404|0.023986273|-0.11829242|-0.14842777|-0.017499708|0.21117167|-0.17888413|0.00540284|-0.1819453|0.03935147|0.082220145|-0.15307352|-0.13293031|0.06747471|-0.15370157|-0.16033895|0.1450628|-0.16987728|0.18180616|-0.10049722|0.0071560415|0.122455865|0.1318019|0.15511954|-0.029902883|0.13453504|0.05565419|0.11370076|-0.13278106|-0.013961427|-0.12964535|-0.08881505|0.2104939|-0.17575088|-0.1828933|-0.099012434|0.06991247|-0.16443883|-0.20850863|0.112707704|0.02527447|0.10255237|-0.12698463|0.03186967|0.13338962|0.1553196|0.17308508|-0.17885584|-0.07859213|0.098130286|0.04056649|-0.10839541|-0.18493578|-0.14164715|-0.123832874|-0.030377045|0.17420089|-0.017683472|-0.16543525|-0.18290381|-0.1640944|0.16816717|-0.17808887|-0.17837866|0.08970725|-0.14988361|-0.11308012|-0.21236068|-0.15571326|0.08363409|-0.22718313|0.106860474|-0.13850728|-0.01575017|-0.15384158|-0.081005245|-0.09307311|0.04295817|-0.19293565|0.12215158|-0.12848532|-0.09482446|-0.12782742|0.16117238|0.10492882|0.15356229|-0.11146144|-0.2134202|0.17011511|0.19279288|0.14463602|-0.21138361|0.1464684|0.13354617|-0.17003645|-0.028195085|0.14292084|0.18408725|-0.15066986|0.0997639
522;-0.2006209|0.108221255|-0.111349955|-0.2271785|0.011477105|0.19461754|-0.21450783|-0.02942238|-0.15689784|0.06670757|0.106762186|-0.19244681|-0.18896462|0.19182743|-0.12752108|-0.1894981|0.14505336|-0.13326989|0.2301838|-0.0881279|-0.0028083883|0.12270383|0.22379428|0.17386526|-0.1192913|0.11334807|0.03792636|0.14873172|-0.11038498|-0.018481828|-0.21754721|-0.115147404|0.26673758|-0.20858422|-0.20080239|0.017463624|0.07842301|-0.16239473|-0.18878964|0.10648881|-0.07501174|0.13926485|-0.16971675|0.018024905|0.11502803|0.16969608|0.265|-0.115761496|-0.1281136|0.20116055|0.1162331|-0.16061369|-0.03947284|-0.1442076|-0.17768183|-0.045468062|0.105307944|0.00437434|-0.197552|-0.13760655|-0.2356996|0.21682242|-0.21079378|-0.120703116|0.12644026|-0.21380907|-0.19616498|-0.22956924|-0.12433712|0.054452967|-0.18749388|0.15698054|-0.14024232|-0.0053494796|-0.1383716|-0.14587069|-0.13686502|0.058887765|-0.17245682|0.16898634|-0.16176024|-0.074121214|-0.102874905|0.13923533|0.12358893|0.103656754|-0.13951795|-0.1847191|0.17045236|0.19692564|0.15613674|-0.123707935|0.13966043|0.19824089|-0.23732099|-0.018919284|0.1905318|0.20715255|-0.11080284|0.09767738
523;-0.21504322|0.044791877|-0.08370194|-0.21471888|0.07277621|0.2018422|-0.19648524|-0.014771725|-0.1814492|0.10369354|0.12683593|-0.17560376|-0.26130033|0.07538508|-0.15205881|-0.2725398|0.09203467|-0.11164813|0.19689362|-0.10914769|0.015679406|0.21551086|0.16921516|0.1323804|-0.111773774|0.14125761|0.014062561|0.09837392|-0.13181181|0.023101814|-0.12943342|-0.079417706|0.29123428|-0.20414506|-0.18855402|-0.05198057|0.08698763|-0.16236365|-0.23713532|0.123941086|-0.07917652|0.049627252|-0.18190424|0.08124484|0.114709854|0.20998272|0.1744228|-0.04033366|-0.14733386|0.09327252|0.107753225|-0.21921301|-0.13213986|-0.19648993|-0.18179867|-0.07723585|0.14333375|0.012547694|-0.19872029|-0.26062626|-0.116914995|0.115339175|-0.23306373|-0.18371068|0.069334954|-0.21226166|-0.24101633|-0.16586591|-0.23078796|0.14235|-0.26807487|0.11168121|-0.111330464|-0.043248966|-0.21518329|-0.0916346|-0.11186808|0.08499613|-0.16977482|0.12765674|-0.16248345|-0.16878381|-0.12155722|0.19575794|0.16565314|0.15794918|-0.16684501|-0.22633192|0.18745466|0.16004167|0.17756529|-0.17099825|0.10591337|0.23889491|-0.19645117|-0.02029082|0.2092838|0.11021681|-0.13621038|0.056408875
524;-0.18079606|0.05458548|-0.167526|-0.20080382|0.037530202|0.17460535|-0.23662114|-0.023713227|-0.15124421|0.07527361|0.13326143|-0.120339975|-0.15948117|0.17268854|-0.15265185|-0.23060259|0.1435582|-0.106513366|0.19110031|-0.098862305|0.04798075|0.15238388|0.23214316|0.18646622|-0.08268587|0.15490203|0.00024026167|0.1747644|-0.09831791|0.051897112|-0.16066246|-0.11038749|0.2414225|-0.20750327|-0.14652991|-0.011382823|0.14740255|-0.08554593|-0.13621317|0.12645063|-0.06609337|0.13351415|-0.1837722|0.016715324|0.12873454|0.1721529|0.16992527|-0.08341622|-0.24566188|0.11117622|0.094285436|-0.14630978|-0.12718481|-0.17961095|-0.21448743|-0.0047555007|0.15550727|0.08672528|-0.19748536|-0.19314165|-0.24184479|0.132046|-0.18881297|-0.09836523|0.09340474|-0.17062889|-0.18415986|-0.21015872|-0.21585198|0.13270631|-0.26095903|0.12839362|-0.08891038|-0.05287186|-0.15655495|-0.19393647|-0.114767104|0.12938276|-0.23460637|0.13683298|-0.19104302|-0.13802317|-0.09243247|0.12123617|0.106632836|0.12911376|-0.0836259|-0.17779702|0.18991064|0.23194993|0.113929644|-0.1818467|0.16660461|0.20737801|-0.14612949|-0.10664907|0.16481704|0.15969485|-0.13355756|0.16205502
525;-0.15816006|0.049851276|-0.13024612|-0.11970545|0.062055167|0.21451022|-0.13633376|0.08402241|-0.143023|0.05262775|0.13896386|-0.116378546|-0.23770297|0.06761788|-0.1528759|-0.1928066|0.13346028|-0.12281447|0.2153978|-0.103173964|0.042192232|0.15585676|0.15615161|0.069572255|-0.09106321|0.11499812|0.018729834|0.13418742|-0.101603106|0.03538285|-0.17245588|-0.0974192|0.18348286|-0.18846186|-0.11769275|-0.017669614|0.069939|-0.12712471|-0.1660485|0.0909771|-0.07491475|0.10978496|-0.13670808|0.08739156|0.15503374|0.1984876|0.20979136|-0.09077237|-0.2210503|0.19014977|0.1294308|-0.086304694|-0.043069158|-0.19747034|-0.21919575|-0.06496121|0.1660279|0.059079416|-0.22236666|-0.1506274|-0.21930854|0.121265925|-0.21601906|-0.103707045|0.114139594|-0.19875051|-0.09774422|-0.19535518|-0.1426138|0.03273996|-0.18345289|0.055365615|-0.1247482|-0.047689904|-0.19194089|-0.10369229|-0.10639678|0.104771234|-0.12863351|0.16455217|-0.09280253|-0.17107838|-0.09820692|0.17263627|0.09861815|0.08723344|-0.12329869|-0.12557296|0.12635994|0.16396064|0.18242702|-0.16094235|0.15125975|0.25374523|-0.12952603|0.0073477626|0.1274785|0.18563432|-0.13721727|0.06532485
526;-0.18787877|0.027393918|-0.16313802|-0.1926582|-0.0053289346|0.20757249|-0.109626316|-0.023969267|-0.20893691|0.075192004|0.08993995|-0.16009389|-0.2012643|0.15470833|-0.19267146|-0.197739|0.14416745|-0.19382821|0.16001433|-0.042953428|-0.0017440338|0.2274752|0.16480982|0.10525391|-0.16542552|0.17089625|-0.017160561|0.1539526|-0.18794003|0.043708444|-0.15170074|-0.0761891|0.21814653|-0.22722575|-0.18501173|-0.1208413|0.030162562|-0.11429567|-0.20335996|0.1015875|-0.004371889|0.106150255|-0.14188972|0.11018912|0.06786049|0.13932921|0.15419799|-0.017234154|-0.15332112|0.11989679|0.14788319|-0.14312243|-0.054679804|-0.109143555|-0.22385184|-0.02288457|0.09169667|0.021828327|-0.17155187|-0.24517141|-0.20538475|0.17269239|-0.14647165|-0.16535045|0.08440225|-0.1581965|-0.10510872|-0.1730725|-0.10507192|0.15254451|-0.20458318|0.10400426|-0.07672462|-0.0017369948|-0.12204921|-0.11152073|-0.060912244|0.056770135|-0.16572356|0.15871435|-0.13391343|-0.1432086|-0.16728115|0.16673757|0.15799835|0.19134495|-0.123484656|-0.12100454|0.17093444|0.17672276|0.1092134|-0.12305914|0.124958634|0.18805641|-0.19352773|-0.044164386|0.19158928|0.16332349|-0.06573016|0.101757824
527;-0.15484244|0.086688936|-0.04836961|-0.19389586|0.076580375|0.22260651|-0.19059008|-0.016373832|-0.23311715|0.083187275|0.09136596|-0.13814509|-0.18211737|0.1398773|-0.10870153|-0.11822838|0.13842042|-0.10070902|0.24939783|-0.10777263|-0.0061883945|0.14660631|0.22945806|0.16145034|-0.113167875|0.1264765|0.0032557214|0.16247863|-0.14297163|0.021713104|-0.11617921|-0.016210191|0.20180598|-0.23873265|-0.13368048|-0.05714966|0.09308694|-0.16870853|-0.17657408|0.08260832|-0.07195501|0.17835118|-0.12919776|0.04669777|0.17892331|0.18296304|0.20142162|-0.08577004|-0.107355826|0.114690825|0.08636485|-0.20603012|-0.08580215|-0.16753519|-0.122176744|-0.107445404|0.12095971|-0.008455399|-0.2522934|-0.21698959|-0.16675316|0.17063119|-0.19128434|-0.15258099|0.10131451|-0.14225757|-0.09934224|-0.1727032|-0.1734108|0.12649274|-0.2686836|0.14909479|-0.021042928|-0.13075274|-0.08887211|-0.10641454|-0.12588109|0.06586017|-0.1454842|0.20625101|-0.21008489|-0.1718307|-0.11620895|0.14177983|0.09937948|0.07954423|-0.19941057|-0.19797|0.22765315|0.17604248|0.14703274|-0.11754106|0.11755735|0.2195336|-0.16938022|-0.07753775|0.14793085|0.21315894|-0.121762976|0.052813683
528;-0.14503199|0.011614151|-0.06878584|-0.15416786|0.050012823|0.15564163|-0.21494135|-0.0395973|-0.14034179|0.07112313|0.11286849|-0.20725004|-0.1607182|0.12221246|-0.107232496|-0.12501206|0.105014555|-0.16539863|0.19636983|-0.12803909|-0.051330578|0.16255282|0.16868512|0.19039102|-0.10835498|0.21497001|0.011748679|0.13078526|-0.1631002|-0.01766707|-0.09859395|-0.14526625|0.14692324|-0.20892175|-0.14039728|-0.045093264|0.120418146|-0.097499676|-0.15974109|0.03672397|-0.069327705|0.118235074|-0.113594964|0.033896558|0.08574878|0.16098359|0.1573007|-0.11258243|-0.11458085|0.08247037|0.13248019|-0.14549628|-0.12806284|-0.11465788|-0.12178443|-0.07702944|0.11989718|0.020149484|-0.10816224|-0.19251032|-0.13769099|0.18969369|-0.09740448|-0.13438082|0.055387273|-0.17999382|-0.0845202|-0.20040944|-0.20234737|0.06363044|-0.23978525|0.15651634|-0.12134676|-0.0063577816|-0.19713902|-0.0813122|-0.10225734|0.12299551|-0.19135064|0.10262945|-0.1448734|-0.116508245|-0.11178813|0.20308393|0.080064915|0.09386216|-0.08923038|-0.14613682|0.16988516|0.16178638|0.18504246|-0.18007724|0.054385163|0.18397832|-0.15150401|-0.066895895|0.1489508|0.20210055|-0.046659917|0.18345228
529;-0.18538254|0.061947003|-0.050120093|-0.21835616|-0.018486686|0.22462587|-0.22549775|0.00977635|-0.13139153|0.10979724|0.12929872|-0.20153312|-0.13531972|0.06350484|-0.13500279|-0.2218236|0.11299069|-0.14547363|0.2201737|-0.09155993|0.004177075|0.15311621|0.19050717|0.15740213|-0.1284117|0.15323493|0.03727455|0.10547364|-0.13741292|-0.021345459|-0.1386728|-0.10309319|0.24832417|-0.12996624|-0.1452515|-0.0044044256|0.08977913|-0.108996026|-0.16955233|0.07397121|0.028688304|0.13578478|-0.19036445|0.062025536|0.09425698|0.17874676|0.2165014|-0.048751567|-0.1944733|0.20439711|0.07496777|-0.2124092|-0.06682947|-0.1508352|-0.20174766|-0.022956174|0.10992898|0.08220887|-0.21123296|-0.11661613|-0.21317983|0.16726533|-0.11480147|-0.05956074|0.11849712|-0.18829353|-0.07824294|-0.18222429|-0.1941204|0.12010937|-0.18296382|0.09328289|-0.061211918|-0.067497335|-0.082915865|-0.12207246|-0.08531101|0.08502016|-0.16930786|0.10818198|-0.09407887|-0.11154473|-0.13515176|0.10988677|0.11524406|0.14839713|-0.06730963|-0.13892743|0.20725743|0.2004891|0.15782507|-0.08878227|0.091365024|0.1641883|-0.12804466|-0.11113301|0.12398784|0.13105075|-0.09066862|0.119460374
530;-0.21045177|0.047246106|-0.10041962|-0.13305183|0.07095413|0.23986351|-0.118591085|-0.021253645|-0.22038859|0.013691336|0.1323448|-0.10132989|-0.21330416|0.10466136|-0.14470534|-0.18934427|0.14942425|-0.11637774|0.12473262|-0.15582988|0.04050129|0.11721577|0.15123366|0.177268|-0.09601747|0.12067803|0.0020489492|0.14188844|-0.17002453|0.07073017|-0.14652593|-0.06894106|0.12351623|-0.21193756|-0.13550763|-0.035164945|0.09102962|-0.063988976|-0.1756389|0.10652788|0.020185389|0.094978675|-0.08722514|0.028780026|0.05673659|0.23010907|0.18179825|-0.14906684|-0.14230679|0.18987432|0.033040293|-0.1862481|-0.05525864|-0.112498716|-0.16826296|-0.0546153|0.15694511|-0.032722827|-0.10504695|-0.1420654|-0.12287909|0.10497267|-0.16475141|-0.16958764|0.08242619|-0.20119278|-0.17421493|-0.15906683|-0.17998686|0.08350738|-0.15751275|0.16039631|-0.091704436|0.040038258|-0.12350511|-0.09997438|-0.06899746|0.105421364|-0.118185975|0.07246524|-0.14850011|-0.14320298|-0.16036904|0.19864537|0.11427131|0.13292038|-0.14945616|-0.14532793|0.19281086|0.1755119|0.16928856|-0.19560254|0.13927099|0.17545362|-0.20570806|-0.039463684|0.11937964|0.1651552|-0.07026702|0.044113707
531;-0.25273758|0.05018484|-0.13994697|-0.16041434|0.052765798|0.20875724|-0.1631219|-0.036602937|-0.27204853|0.068637736|0.106562465|-0.07234629|-0.10947124|0.1110041|-0.12008242|-0.23281324|0.10408204|-0.15171385|0.107011095|-0.0928394|0.07644226|0.15068388|0.14590928|0.14018688|-0.13124429|0.11878611|0.027853923|0.096988626|-0.12761672|0.0730373|-0.15139142|-0.009849116|0.21868719|-0.20256183|-0.13711156|0.017758802|0.053561646|-0.09875996|-0.12007256|0.14659415|-0.059491105|0.10063693|-0.093223736|0.08992797|0.09500435|0.1354627|0.13851318|-0.07373676|-0.102520205|0.1618544|0.070274845|-0.1418312|-0.0714443|-0.099686176|-0.17112291|-0.04046151|0.19349276|0.069104925|-0.16832693|-0.11278386|-0.1384629|0.1132638|-0.139941|-0.083502114|0.061292835|-0.19191964|-0.20717835|-0.10060367|-0.13456053|0.1293006|-0.19085312|0.1062045|-0.033503696|-0.060491927|-0.12556505|-0.06452813|-0.0979844|0.08265067|-0.20790808|0.1273577|-0.14941381|-0.09855292|-0.143922|0.11153641|0.12521753|0.13170165|-0.19414534|-0.19631812|0.12430003|0.13029508|0.14304912|-0.06558693|0.16234955|0.18999054|-0.14461522|-0.017692545|0.177098|0.08744807|-0.08573746|0.062460825
532;-0.2642199|0.02806501|-0.1506169|-0.22850971|0.023384156|0.15278181|-0.18033004|0.023698984|-0.19415608|0.06853832|0.15521713|-0.24834517|-0.1917932|0.07085752|-0.08627294|-0.21221033|0.13034055|-0.09363378|0.14112169|-0.07121132|-0.056969482|0.1675702|0.13441008|0.08737239|-0.12546346|0.21300843|0.06987136|0.116533265|-0.18434426|0.079515815|-0.13096611|-0.10278073|0.18097098|-0.1199642|-0.17302763|0.006814413|0.11127768|-0.16441375|-0.1913418|0.07918912|-0.086633|0.114849724|-0.21725792|0.024128512|0.170843|0.26572457|0.16960335|-0.17682526|-0.11806372|0.104066126|0.101414345|-0.14524502|-0.15595905|-0.10781574|-0.1709975|-0.068649136|0.13581799|-0.0101623945|-0.19559719|-0.2667689|-0.12476736|0.1790505|-0.14844945|-0.22177005|0.16512579|-0.25001168|-0.16324867|-0.17738266|-0.23801254|0.10820796|-0.26219237|0.13025075|-0.13055153|-0.004396133|-0.11736506|-0.12764132|-0.0912925|0.0829469|-0.17078257|0.14482632|-0.20984347|-0.12443185|-0.08956118|0.19274049|0.19381714|0.1678682|-0.1340218|-0.14442325|0.18125123|0.2658365|0.18588558|-0.14072323|0.13751538|0.24631937|-0.13756797|-0.034527272|0.2040968|0.16015565|-0.03821473|0.14741494
533;-0.11668339|0.08025879|-0.13392635|-0.1999522|0.020039227|0.23229334|-0.15572253|-0.052562263|-0.15842572|0.027718306|0.06796356|-0.1277804|-0.15476686|0.09972578|-0.168054|-0.12780851|0.07556319|-0.11894181|0.14995944|-0.075305566|-0.021190833|0.18237843|0.1325405|0.12583666|-0.08619523|0.11828415|0.03214662|0.1200053|-0.079560526|-0.008132592|-0.11305577|-0.03992234|0.20853284|-0.15101467|-0.15921608|-0.116962135|0.081689365|-0.06711827|-0.13008432|0.058277678|-0.055940352|0.10049805|-0.14668275|0.052950896|0.12355889|0.13859546|0.20461957|-0.07346482|-0.16701809|0.15507552|0.10197689|-0.1734281|-0.07319601|-0.105180845|-0.1922512|-0.015206806|0.11405239|-0.03902596|-0.13362655|-0.20421833|-0.14242673|0.11681032|-0.17565942|-0.08878453|0.11882195|-0.17825255|-0.11965773|-0.1312811|-0.13424808|0.19192626|-0.17050909|0.049306035|-0.05857331|-0.023239631|-0.18174468|-0.17044733|-0.083146855|0.03087015|-0.1722446|0.07875893|-0.1326824|-0.100519836|-0.048318267|0.14490968|0.06614407|0.070656195|-0.14555103|-0.14675836|0.1508444|0.22142175|0.21212725|-0.17782056|0.0936833|0.17475048|-0.1289591|-0.06227159|0.13313265|0.19995362|-0.1643385|0.054718945
534;-0.2716224|-0.039657302|-0.07628201|-0.20985225|0.090372995|0.23968971|-0.17778558|-0.07115586|-0.1475441|0.036685325|0.11883831|-0.10349771|-0.12598786|0.118259594|-0.14151593|-0.23845899|0.10996904|-0.20398723|0.15880473|-0.046653684|0.031127468|0.11000347|0.11921656|0.1449365|-0.077442944|0.13599056|0.0288794|0.070701584|-0.13420449|0.100719064|-0.19545025|-0.15108612|0.14086325|-0.23362648|-0.19243188|0.016227845|0.10479364|-0.10412221|-0.20607865|0.15941852|-0.026035393|0.11070244|-0.16245031|-0.0260588|0.10328709|0.14625037|0.16414614|-0.036214307|-0.23769145|0.20974562|0.10401665|-0.18642505|-0.041517187|-0.07974897|-0.16668308|-0.028550655|0.11648603|-0.024084095|-0.09317207|-0.16435237|-0.20280588|0.16066076|-0.13551542|-0.17562215|0.08066822|-0.20059112|-0.12304927|-0.19534506|-0.21526359|0.14290012|-0.24840537|0.17656952|-0.14093083|-0.04502655|-0.24023399|-0.14882192|-0.09308891|0.0043655783|-0.19532149|0.12558204|-0.11060686|-0.16114217|-0.0986654|0.102284916|0.13780025|0.13984971|-0.19769748|-0.16765243|0.16872805|0.15799221|0.24746507|-0.19105496|0.07375748|0.15816176|-0.17377663|-0.020630354|0.17472105|0.1779646|-0.10153159|0.14386684
535;-0.18873706|0.042945355|-0.084223196|-0.13599695|0.07391658|0.20644993|-0.13710591|-0.0014159512|-0.18268383|0.082688734|0.08844316|-0.1554491|-0.13938053|0.13511689|-0.08937174|-0.20082271|0.10077573|-0.09864508|0.16636817|-0.10460436|0.039250135|0.20313355|0.11560319|0.102842644|-0.15033568|0.14865093|-0.0020881328|0.14403017|-0.18386756|-0.048264615|-0.1381463|-0.08512042|0.2033902|-0.24768597|-0.23472977|-0.095569715|0.105051346|-0.108122095|-0.16873585|0.08469206|-0.09748761|0.064990535|-0.25749528|0.084594995|0.14779887|0.11012907|0.16645491|-0.18484777|-0.09447183|0.165207|0.06108268|-0.123114355|-0.089673094|-0.14182724|-0.111298844|-0.050490864|0.16724229|0.03062711|-0.1877437|-0.24321772|-0.19346847|0.14951672|-0.1347703|-0.099226534|0.17575347|-0.14841762|-0.053000093|-0.18832059|-0.23431171|0.12783034|-0.23555414|0.13040063|-0.057899743|-0.06562833|-0.10177296|-0.12076375|-0.11071024|0.13822183|-0.19143805|0.16414934|-0.16961423|-0.14544453|-0.10701747|0.16149125|0.14685653|0.189725|-0.18158102|-0.1213821|0.23956156|0.24454765|0.16716075|-0.16440554|0.079686895|0.22282556|-0.21531639|-0.016172022|0.19452155|0.18350008|-0.08549802|0.11641304
536;-0.21557525|0.019453987|-0.09020241|-0.18221283|0.0656568|0.22765946|-0.13430375|0.071465544|-0.22168772|0.10858776|0.07965734|-0.16037457|-0.15585174|0.1757814|-0.08075054|-0.21721347|0.13937631|-0.14852151|0.18653327|-0.09145563|-0.035829052|0.18040003|0.19303721|0.15005958|-0.10604499|0.17424901|0.017223615|0.104412794|-0.16297843|0.06967238|-0.1666952|-0.09604235|0.18241856|-0.16065735|-0.21372502|-0.02236716|0.14122865|-0.12251495|-0.23977952|0.1428759|-0.04909271|0.13975947|-0.18430008|0.029256737|0.19400579|0.215602|0.15419596|-0.13967732|-0.146599|0.1669758|0.19525418|-0.14594135|-0.12301269|-0.09573412|-0.23449746|-0.0931915|0.17252451|0.000590723|-0.17832302|-0.25851646|-0.231098|0.12816826|-0.1829779|-0.1548576|0.043689243|-0.23142552|-0.16997625|-0.20232962|-0.24526456|0.12903921|-0.27164933|0.0797185|-0.07307941|-0.021739416|-0.14221025|-0.13796102|-0.14135043|0.0987033|-0.21312205|0.19334236|-0.18355061|-0.13646625|-0.06331344|0.16570862|0.16864376|0.207446|-0.14775231|-0.16323858|0.13440281|0.25525653|0.15790959|-0.19097063|0.08310202|0.19959329|-0.1810449|-0.018398559|0.18840201|0.091585994|-0.14102867|0.04157958
537;-0.20902295|0.019218057|-0.10388768|-0.20647185|-0.0011987612|0.18781525|-0.21144879|0.015092902|-0.20217553|0.059716452|0.1366356|-0.1402426|-0.199172|0.10452209|-0.13197725|-0.20825778|0.11735083|-0.115184866|0.21375287|-0.021421738|-0.04215118|0.12185536|0.111914486|0.1688574|-0.13455929|0.19370271|-0.016157804|0.13099577|-0.1033314|0.016552273|-0.21936443|-0.037395295|0.23244789|-0.14233415|-0.20551115|-0.024725106|0.07279438|-0.12968543|-0.18781112|0.103653796|-0.034615226|0.12133393|-0.10025802|0.053082377|0.11362802|0.22157449|0.24095199|-0.06754796|-0.18082464|0.13294445|0.14114536|-0.15513743|-0.13352507|-0.19714229|-0.2645942|-0.026470056|0.18844841|-0.016206872|-0.20072533|-0.21605241|-0.21283603|0.09442688|-0.18211414|-0.16447029|0.17376216|-0.23444387|-0.15092367|-0.18182921|-0.2619097|0.13655567|-0.26884687|0.14172688|-0.09261653|-0.025718166|-0.15821958|-0.15308142|-0.18090309|0.049610857|-0.12646328|0.10895474|-0.106275074|-0.21743998|-0.07586566|0.18221699|0.11898206|0.1722823|-0.16324505|-0.14723237|0.22513728|0.2493439|0.2175799|-0.116352156|0.14351694|0.23933223|-0.12590459|-0.07238227|0.13281918|0.15003468|-0.08082351|0.06854907
538;-0.2414428|0.029145248|-0.1228946|-0.124685064|0.0069691427|0.24427333|-0.09735578|0.016998641|-0.1459676|0.11237358|0.16196933|-0.17475058|-0.17498271|0.054710165|-0.08990243|-0.20364733|0.18282951|-0.19948341|0.21353005|-0.061836027|-0.027474605|0.077724405|0.10322127|0.023065701|-0.11857866|0.13487962|0.0530357|0.17527059|-0.14299211|0.1196753|-0.19264129|-0.13928837|0.19178835|-0.120547496|-0.16531622|-0.019498227|0.09311012|-0.06009382|-0.17950311|0.16936687|-0.06277046|0.16076712|-0.14596684|0.0906593|0.115072146|0.22711723|0.21767962|-0.136736|-0.15950729|0.08529666|0.14193177|-0.0904825|-0.088894725|-0.12663986|-0.120348126|-0.0044998154|0.095481165|0.024884949|-0.1416502|-0.2312935|-0.1986449|0.14032157|-0.10593717|-0.1791207|0.114597864|-0.10366681|-0.15568337|-0.18712673|-0.11594326|0.07645582|-0.22917265|0.08406173|-0.039673455|0.0125621855|-0.13187301|-0.15928389|-0.08526919|0.014445253|-0.17108768|0.10802955|-0.15850294|-0.13658422|-0.047492407|0.18087773|0.17365244|0.18215814|-0.13528572|-0.11491423|0.17331858|0.2255158|0.12605199|-0.14937326|0.098971516|0.22229175|-0.079867825|-0.009660915|0.10893954|0.10272314|-0.15595981|0.067472935
539;-0.19425975|0.09863142|-0.09961439|-0.17478493|-0.012237027|0.22916806|-0.17482392|0.004658959|-0.13984634|0.058823675|0.17883208|-0.18450622|-0.1849279|0.18975475|-0.15614326|-0.13425419|0.1631369|-0.18750894|0.2055536|-0.09894117|-0.0071659423|0.22735424|0.17149188|0.07722896|-0.1781423|0.16547394|0.009039684|0.1751199|-0.10921573|0.09535189|-0.1558576|-0.13874283|0.2408692|-0.11033201|-0.21010235|0.0444723|0.065642424|-0.17999342|-0.2423876|0.18330967|-0.08618087|0.110019445|-0.19847548|0.053617567|0.14595018|0.17100759|0.20898423|-0.13989213|-0.20676836|0.16816492|0.12854652|-0.22600865|-0.094807096|-0.16452196|-0.22295828|-0.08043431|0.11190664|0.007111188|-0.13758537|-0.27333754|-0.18675552|0.09563291|-0.10218231|-0.14268045|0.12085677|-0.23046167|-0.103309706|-0.15818071|-0.17665625|0.095415324|-0.22768018|0.099136785|-0.04195634|-0.029640123|-0.2221447|-0.11078711|-0.12852556|0.17215535|-0.15170017|0.1048478|-0.18475008|-0.09434614|-0.082424596|0.208643|0.16430238|0.15083213|-0.14495899|-0.15426117|0.16631308|0.26823428|0.2238994|-0.15948133|0.14358652|0.22456382|-0.21571353|-0.074972235|0.12033887|0.18061595|-0.14581648|0.13240919
